ProtID1,ProtID2
Q14197,Q8TAE8
Q14197,Q96EH3
Q14197,Q7Z7H8
Q14197,Q9Y3B7
Q14197,Q9BYD1
Q14197,Q6P1L8
Q14197,Q9P015
Q14197,Q9NX20
Q14197,Q9NRX2
Q14197,Q9H0U6
Q14197,P49406
Q14197,Q5T653
Q14197,Q9NWU5
Q14197,Q16540
Q14197,Q96A35
Q14197,Q9P0M9
Q14197,Q13084
Q14197,P09001
Q14197,Q9BYC8
Q14197,Q9BZE1
Q14197,Q9NYK5
Q14197,Q9BYD3
Q14197,Q9NQ50
Q14197,Q8IXM3
Q14197,Q8N983
Q14197,Q9H9J2
Q14197,Q9H2W6
Q14197,Q9HD33
Q14197,Q96GC5
Q14197,Q13405
Q14197,Q8N5N7
Q14197,Q4U2R6
Q14197,Q6P161
Q14197,Q7Z7F7
Q14197,Q9BYD2
Q14197,Q9NVS2
Q14197,Q9NP92
Q14197,Q9BYC9
Q9BYD2,Q9P015
Q9P015,Q9NX20
Q96A35,Q9H9J2
Q9BYD2,Q9BZE1
Q9P015,Q9NYK5
Q9BZE1,Q9NYK5
Q9NX20,Q9NQ50
P09001,Q9BYD2
Q9P015,Q96DV4
Q9BZE1,Q96DV4
Q9BYD2,Q9H9J2
Q96A35,Q9BZE1
P09001,Q9BYD3
Q9NYK5,Q9H9J2
Q96DV4,Q9H9J2
Q9BYD2,Q9NYK5
Q9BZE1,Q9H9J2
Q9BYD3,Q9P015
Q9NX20,Q96DV4
Q9Y3B7,Q9NX20
Q96DV4,Q9NYK5
Q96A35,Q9NYK5
Q9BYD2,Q96DV4
Q9BYD3,Q96A35
P09001,Q9NYK5
Q9Y3B7,Q9P015
Q9Y3B7,Q9NYK5
Q6P1L8,Q9NQ50
Q96A35,Q9NQ50
Q9NYK5,Q9NQ50
Q9BZE1,Q8IXM3
Q9BYC8,Q9H9J2
Q9BYC8,Q8N5N7
Q96DV4,Q8N5N7
Q9NQ50,Q8N5N7
Q9Y3B7,Q9BYD1
P49406,Q96A35
Q9BYD2,P49406
P49406,Q8N5N7
Q9BYC8,Q9BZE1
Q6P1L8,P49406
P09001,Q16540
Q96DV4,Q9NQ50
Q6P1L8,Q9NYK5
Q9BZE1,Q8N5N7
Q6P1L8,Q96DV4
P49406,Q9H9J2
Q8IXM3,Q9H9J2
Q9P015,P49406
Q9P015,Q9NQ50
Q9BYD1,Q9NRX2
Q5T653,Q9Y3B7
Q16540,Q7Z7F7
Q9BYD1,Q9NX20
Q9NQ50,Q9Y6G3
P09001,Q9BYD1
Q7Z2W9,Q9NQ50
Q9BZE1,Q4U2R6
Q9P015,Q9BYC8
Q9NYK5,Q13405
Q9BYD1,Q6P1L8
Q9BYC8,Q9NYK5
P09001,Q9NRX2
Q5T653,Q9BYD2
Q9HD33,Q8N5N7
Q8IXM3,Q4U2R6
Q9NQ50,Q4U2R6
Q7Z2W9,Q4U2R6
Q6P1L8,Q96EL3
Q7Z7H8,Q9P015
Q9BYD1,Q9P015
Q4U2R6,Q86TS9
Q9H9J2,Q4U2R6
Q96DV4,Q13405
P49406,Q96DV4
Q9BYC8,Q9Y6G3
Q7Z2W9,Q9BYC8
Q9BYD1,Q9Y6G3
Q9BYC8,Q7Z7F7
Q9H9J2,Q9HD33
Q9BYD1,Q16540
Q8IXM3,Q86TS9
Q9P015,Q8N5N7
Q9BYD1,Q7Z7F7
P49406,Q9NQ50
Q96A35,Q4U2R6
Q9BYC8,Q9NQ50
Q16540,Q9Y6G3
Q9BYD2,Q9NQ50
P09001,Q7Z7H8
Q86TS9,Q7Z7F7
Q9Y3B7,Q9NQ50
