@relation pdbribosomehs_LatD6SumNoNamesWithClass

@attribute RCC1 numeric
@attribute RCC2 numeric
@attribute RCC3 numeric
@attribute RCC4 numeric
@attribute RCC5 numeric
@attribute RCC6 numeric
@attribute RCC7 numeric
@attribute RCC8 numeric
@attribute RCC9 numeric
@attribute RCC10 numeric
@attribute RCC11 numeric
@attribute RCC12 numeric
@attribute RCC13 numeric
@attribute RCC14 numeric
@attribute RCC15 numeric
@attribute RCC16 numeric
@attribute RCC17 numeric
@attribute RCC18 numeric
@attribute RCC19 numeric
@attribute RCC20 numeric
@attribute RCC21 numeric
@attribute RCC22 numeric
@attribute RCC23 numeric
@attribute RCC24 numeric
@attribute RCC25 numeric
@attribute RCC26 numeric
@attribute Class {P,N}

@data

10,4,36,0,6,0,28,16,0,0,0,0,0,34,54,0,0,0,0,0,0,0,0,0,6,4,N
6,4,19,0,4,1,22,9,0,0,3,3,1,30,29,0,0,0,0,0,1,0,0,1,13,2,N
6,2,20,0,8,0,16,13,0,0,3,0,3,20,43,0,0,0,0,0,0,1,0,0,3,5,N
10,5,28,3,11,2,25,16,0,0,6,3,3,30,50,0,0,0,0,0,0,0,0,1,6,3,N
9,2,21,1,6,0,18,12,0,0,5,0,2,33,29,0,0,0,0,0,2,0,0,0,4,2,N
37,20,64,17,97,6,99,35,0,11,28,21,13,99,102,0,0,0,1,0,6,2,0,2,17,12,P
24,10,69,5,33,6,82,20,0,1,10,11,6,94,99,0,0,1,0,1,2,1,0,0,10,11,P
36,13,28,6,53,2,76,17,0,5,30,10,18,69,114,0,0,0,0,0,7,3,1,2,19,8,P
5,2,41,1,5,0,14,15,0,0,0,0,2,19,69,0,0,0,0,0,0,0,0,0,3,8,P
6,3,52,1,9,1,27,19,0,0,2,2,0,27,44,0,0,0,0,0,0,0,0,0,3,6,N
11,7,34,0,8,0,34,14,0,0,0,0,0,26,41,0,0,0,0,0,0,0,0,0,6,3,P
13,4,32,5,23,3,41,19,0,8,7,8,2,50,54,0,0,0,0,0,0,0,0,0,8,4,N
24,11,38,10,64,6,45,15,1,13,14,6,20,42,148,0,0,0,2,0,3,2,0,0,5,16,P
17,16,66,0,20,6,75,22,0,0,6,3,2,72,64,0,0,0,0,0,3,1,0,3,10,4,N
17,16,66,0,20,6,75,22,0,0,6,3,2,72,64,0,0,0,0,0,3,1,0,3,10,4,P
31,30,51,6,44,14,119,25,0,3,9,9,2,69,83,0,0,0,0,1,3,0,0,0,9,8,N
31,30,51,6,44,14,119,25,0,3,9,9,2,69,83,0,0,0,0,1,3,0,0,0,9,8,N
22,13,39,10,46,10,79,21,0,3,14,8,9,57,80,0,0,1,0,0,0,0,0,0,9,11,N
22,13,39,10,46,10,79,21,0,3,14,8,9,57,80,0,0,1,0,0,0,0,0,0,9,11,N
14,6,39,2,18,3,36,15,0,0,9,1,3,48,52,0,0,0,0,0,0,0,0,2,6,5,N
17,7,31,2,17,1,30,14,0,1,4,3,1,27,60,0,0,0,0,0,0,0,0,0,4,6,P
17,7,31,2,17,1,30,14,0,1,4,3,1,27,60,0,0,0,0,0,0,0,0,0,4,6,P
25,12,37,3,27,4,42,13,0,0,3,4,3,33,78,0,0,0,0,0,0,0,0,0,3,11,N
25,12,37,3,27,4,42,13,0,0,3,4,3,33,78,0,0,0,0,0,0,0,0,0,3,11,N
14,7,30,1,11,1,31,10,0,0,2,3,3,30,91,0,0,0,0,0,0,1,0,0,4,4,P
14,7,30,1,11,1,31,10,0,0,2,3,3,30,91,0,0,0,0,0,0,1,0,0,4,4,N
24,18,43,4,30,8,52,14,0,1,1,3,4,47,79,0,0,0,0,0,0,0,0,0,6,4,N
24,18,43,4,30,8,52,14,0,1,1,3,4,47,79,0,0,0,0,0,0,0,0,0,6,4,N
10,5,27,4,13,7,37,16,0,2,11,8,5,43,49,0,0,0,0,0,0,0,0,0,8,2,N
10,5,27,4,13,7,37,16,0,2,11,8,5,43,49,0,0,0,0,0,0,0,0,0,8,2,N
26,13,43,10,47,2,80,18,0,4,20,15,8,71,90,0,0,1,0,1,1,1,0,0,9,9,P
26,13,43,10,47,2,80,18,0,4,20,15,8,71,90,0,0,1,0,1,1,1,0,0,9,9,N
21,15,43,3,24,6,65,20,0,2,18,7,8,52,64,0,0,0,0,0,5,0,0,0,10,11,N
9,4,43,0,6,5,34,13,0,1,7,3,4,31,82,0,0,0,0,0,2,0,0,0,4,4,P
9,4,43,0,6,5,34,13,0,1,7,3,4,31,82,0,0,0,0,0,2,0,0,0,4,4,N
19,7,32,1,18,0,38,13,0,1,4,2,4,50,68,0,0,0,0,0,0,0,1,0,5,9,N
19,7,32,1,18,0,38,13,0,1,4,2,4,50,68,0,0,0,0,0,0,0,1,0,5,9,P
29,18,53,2,30,4,70,22,0,1,2,6,4,32,118,0,0,0,0,0,0,0,0,0,6,10,N
29,18,53,2,30,4,70,22,0,1,2,6,4,32,118,0,0,0,0,0,0,0,0,0,6,10,N
18,8,47,2,19,2,41,21,0,3,6,5,2,45,69,0,0,0,0,0,0,1,0,0,5,3,N
18,8,47,2,19,2,41,21,0,3,6,5,2,45,69,0,0,0,0,0,0,1,0,0,5,3,N
54,17,55,13,68,13,96,24,0,6,30,16,29,93,115,0,0,0,0,0,7,0,0,2,15,22,N
54,17,55,13,68,13,96,24,0,6,30,16,29,93,115,0,0,0,0,0,7,0,0,2,15,22,N
17,3,42,2,26,3,42,10,0,0,7,8,8,42,92,0,0,0,0,2,4,0,0,1,11,10,N
17,3,42,2,26,3,42,10,0,0,7,8,8,42,92,0,0,0,0,2,4,0,0,1,11,10,N
17,9,45,4,27,6,54,18,0,1,7,4,6,48,65,0,0,0,0,0,2,0,0,1,5,8,N
17,9,45,4,27,6,54,18,0,1,7,4,6,48,65,0,0,0,0,0,2,0,0,1,5,8,N
16,10,41,6,19,6,54,17,0,0,12,4,8,57,69,0,0,0,0,0,0,2,0,2,10,4,N
16,10,41,6,19,6,54,17,0,0,12,4,8,57,69,0,0,0,0,0,0,2,0,2,10,4,N
18,7,40,0,16,1,29,14,0,0,1,2,1,23,57,0,0,0,0,0,0,0,0,0,4,6,N
18,7,40,0,16,1,29,14,0,0,1,2,1,23,57,0,0,0,0,0,0,0,0,0,4,6,N
24,13,43,8,42,7,55,13,0,2,8,4,7,58,116,0,0,0,0,0,2,0,0,0,7,5,N
11,6,35,4,23,0,28,11,0,0,4,2,3,35,122,0,0,0,0,0,0,0,0,0,6,3,N
12,5,36,0,17,1,33,9,0,1,0,6,3,45,55,0,0,0,0,0,2,0,0,1,7,2,N
6,4,19,0,4,1,22,9,0,0,3,3,1,30,29,0,0,0,0,0,1,0,0,1,13,2,N
2,4,2,0,2,2,16,2,0,0,6,6,2,26,4,0,0,0,0,0,2,0,0,2,20,0,N
2,2,3,0,6,1,10,6,0,0,6,3,4,16,18,0,0,0,0,0,1,1,0,1,10,3,N
6,5,11,3,9,3,19,9,0,0,9,6,4,26,25,0,0,0,0,0,1,0,0,2,13,1,N
5,2,4,1,4,1,12,5,0,0,8,3,3,29,4,0,0,0,0,0,3,0,0,1,11,0,N
33,20,47,17,95,7,93,28,0,11,31,24,14,95,77,0,0,0,1,0,7,2,0,3,24,10,N
20,10,52,5,31,7,76,13,0,1,13,14,7,90,74,0,0,1,0,1,3,1,0,1,17,9,N
32,13,11,6,51,3,70,10,0,5,33,13,19,65,89,0,0,0,0,0,8,3,1,3,26,6,N
1,2,24,1,3,1,8,8,0,0,3,3,3,15,44,0,0,0,0,0,1,0,0,1,10,6,N
2,3,35,1,7,2,21,12,0,0,5,5,1,23,19,0,0,0,0,0,1,0,0,1,10,4,N
7,7,17,0,6,1,28,7,0,0,3,3,1,22,16,0,0,0,0,0,1,0,0,1,13,1,N
9,4,15,5,21,4,35,12,0,8,10,11,3,46,29,0,0,0,0,0,1,0,0,1,15,2,N
20,11,21,10,62,7,39,8,1,13,17,9,21,38,123,0,0,0,2,0,4,2,0,1,12,14,N
13,16,49,0,18,7,69,15,0,0,9,6,3,68,39,0,0,0,0,0,4,1,0,4,17,2,N
13,16,49,0,18,7,69,15,0,0,9,6,3,68,39,0,0,0,0,0,4,1,0,4,17,2,N
27,30,34,6,42,15,113,18,0,3,12,12,3,65,58,0,0,0,0,1,4,0,0,1,16,6,N
27,30,34,6,42,15,113,18,0,3,12,12,3,65,58,0,0,0,0,1,4,0,0,1,16,6,N
18,13,22,10,44,11,73,14,0,3,17,11,10,53,55,0,0,1,0,0,1,0,0,1,16,9,N
18,13,22,10,44,11,73,14,0,3,17,11,10,53,55,0,0,1,0,0,1,0,0,1,16,9,N
10,6,22,2,16,4,30,8,0,0,12,4,4,44,27,0,0,0,0,0,1,0,0,3,13,3,N
13,7,14,2,15,2,24,7,0,1,7,6,2,23,35,0,0,0,0,0,1,0,0,1,11,4,N
13,7,14,2,15,2,24,7,0,1,7,6,2,23,35,0,0,0,0,0,1,0,0,1,11,4,N
21,12,20,3,25,5,36,6,0,0,6,7,4,29,53,0,0,0,0,0,1,0,0,1,10,9,N
21,12,20,3,25,5,36,6,0,0,6,7,4,29,53,0,0,0,0,0,1,0,0,1,10,9,N
10,7,13,1,9,2,25,3,0,0,5,6,4,26,66,0,0,0,0,0,1,1,0,1,11,2,N
10,7,13,1,9,2,25,3,0,0,5,6,4,26,66,0,0,0,0,0,1,1,0,1,11,2,N
20,18,26,4,28,9,46,7,0,1,4,6,5,43,54,0,0,0,0,0,1,0,0,1,13,2,N
20,18,26,4,28,9,46,7,0,1,4,6,5,43,54,0,0,0,0,0,1,0,0,1,13,2,N
6,5,10,4,11,8,31,9,0,2,14,11,6,39,24,0,0,0,0,0,1,0,0,1,15,0,N
6,5,10,4,11,8,31,9,0,2,14,11,6,39,24,0,0,0,0,0,1,0,0,1,15,0,N
22,13,26,10,45,3,74,11,0,4,23,18,9,67,65,0,0,1,0,1,2,1,0,1,16,7,N
22,13,26,10,45,3,74,11,0,4,23,18,9,67,65,0,0,1,0,1,2,1,0,1,16,7,N
