@relation swsarscov1_LatD6SumNoNamesWithClassP

@attribute RCC1 numeric
@attribute RCC2 numeric
@attribute RCC3 numeric
@attribute RCC4 numeric
@attribute RCC5 numeric
@attribute RCC6 numeric
@attribute RCC7 numeric
@attribute RCC8 numeric
@attribute RCC9 numeric
@attribute RCC10 numeric
@attribute RCC11 numeric
@attribute RCC12 numeric
@attribute RCC13 numeric
@attribute RCC14 numeric
@attribute RCC15 numeric
@attribute RCC16 numeric
@attribute RCC17 numeric
@attribute RCC18 numeric
@attribute RCC19 numeric
@attribute RCC20 numeric
@attribute RCC21 numeric
@attribute RCC22 numeric
@attribute RCC23 numeric
@attribute RCC24 numeric
@attribute RCC25 numeric
@attribute RCC26 numeric
@attribute Class {P,N}

@data

60,24,38,38,144,14,146,18,0,14,72,22,36,164,132,0,0,0,0,2,12,4,0,8,24,10,P
69,39,73,38,178,18,199,32,2,14,81,24,38,192,165,0,0,1,1,1,16,3,0,6,29,23,P
95,45,53,41,190,22,227,45,0,19,89,38,57,218,182,0,0,2,2,3,13,5,1,7,28,14,P
40,19,27,26,104,9,98,17,0,10,40,13,21,99,100,0,0,1,0,2,6,2,0,4,15,8,P
46,22,36,39,140,13,152,23,0,14,63,21,31,180,125,0,0,1,0,2,17,6,0,7,28,11,P
40,13,26,26,89,10,94,12,0,10,47,17,22,98,92,0,0,0,0,1,7,2,0,5,18,6,P
72,23,46,34,133,18,158,16,0,13,63,23,32,151,132,0,0,0,0,1,9,2,0,4,18,7,P
34,12,26,23,91,9,85,12,3,23,58,18,28,119,80,0,0,3,4,3,15,4,0,4,21,6,P
51,29,42,37,132,11,139,17,0,17,71,23,35,163,131,0,0,0,0,1,13,3,1,7,27,10,P
39,20,22,23,78,7,80,11,0,12,43,17,28,84,96,0,0,0,1,1,6,7,0,6,12,13,P
40,13,28,23,97,9,93,14,0,7,39,14,22,119,168,0,0,0,0,1,7,2,0,5,18,6,P
31,14,24,25,88,8,102,14,0,8,39,13,21,123,77,0,0,0,0,1,7,2,0,4,23,6,P
32,12,29,20,74,9,83,13,0,7,39,12,21,108,69,0,0,0,0,1,7,2,1,5,19,5,P
55,25,31,35,134,16,129,24,0,19,66,28,35,194,128,0,0,0,0,1,13,7,0,6,24,11,P
165,63,72,57,306,21,247,53,1,32,111,40,70,241,381,0,0,3,4,1,24,6,2,9,38,21,P
45,14,29,20,109,10,110,14,0,9,44,14,21,135,146,0,0,0,0,1,8,2,0,4,17,6,P
36,13,19,20,73,8,83,12,0,8,47,15,20,120,71,0,0,1,1,1,11,2,0,6,25,6,P
118,66,98,43,197,32,340,48,0,22,115,47,63,419,247,0,0,2,0,1,24,4,0,13,59,28,P
69,39,73,38,178,18,199,32,2,14,81,24,38,192,165,0,0,1,1,1,16,3,0,6,29,23,P
78,54,108,38,212,22,252,46,4,14,90,26,40,220,198,0,0,2,2,0,20,2,0,4,34,36,P
104,60,88,41,224,26,280,59,2,19,98,40,59,246,215,0,0,3,3,2,17,4,1,5,33,27,P
49,34,62,26,138,13,151,31,2,10,49,15,23,127,133,0,0,2,1,1,10,1,0,2,20,21,P
55,37,71,39,174,17,205,37,2,14,72,23,33,208,158,0,0,2,1,1,21,5,0,5,33,24,P
49,28,61,26,123,14,147,26,2,10,56,19,24,126,125,0,0,1,1,0,11,1,0,3,23,19,P
81,38,81,34,167,22,211,30,2,13,72,25,34,179,165,0,0,1,1,0,13,1,0,2,23,20,P
43,27,61,23,125,13,138,26,5,23,67,20,30,147,113,0,0,4,5,2,19,3,0,2,26,19,P
60,44,77,37,166,15,192,31,2,17,80,25,37,191,164,0,0,1,1,0,17,2,1,5,32,23,P
48,35,57,23,112,11,133,25,2,12,52,19,30,112,129,0,0,1,2,0,10,6,0,4,17,26,P
49,28,63,23,131,13,146,28,2,7,48,16,24,147,201,0,0,1,1,0,11,1,0,3,23,19,P
40,29,59,25,122,12,155,28,2,8,48,15,23,151,110,0,0,1,1,0,11,1,0,2,28,19,P
41,27,64,20,108,13,136,27,2,7,48,14,23,136,102,0,0,1,1,0,11,1,1,3,24,18,P
