@relation pdbribosomett_LatD6SumNoNamesWithClassP

@attribute RCC1 numeric
@attribute RCC2 numeric
@attribute RCC3 numeric
@attribute RCC4 numeric
@attribute RCC5 numeric
@attribute RCC6 numeric
@attribute RCC7 numeric
@attribute RCC8 numeric
@attribute RCC9 numeric
@attribute RCC10 numeric
@attribute RCC11 numeric
@attribute RCC12 numeric
@attribute RCC13 numeric
@attribute RCC14 numeric
@attribute RCC15 numeric
@attribute RCC16 numeric
@attribute RCC17 numeric
@attribute RCC18 numeric
@attribute RCC19 numeric
@attribute RCC20 numeric
@attribute RCC21 numeric
@attribute RCC22 numeric
@attribute RCC23 numeric
@attribute RCC24 numeric
@attribute RCC25 numeric
@attribute RCC26 numeric
@attribute Class {P,N}

@data

14,92,34,0,12,22,32,134,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,P
13,119,35,1,20,20,20,112,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,P
19,97,41,0,9,17,23,132,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,P
15,138,31,0,12,17,21,85,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,P
7,105,26,0,7,14,19,87,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,P
20,70,27,0,9,17,23,133,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,P
9,114,27,0,9,23,24,97,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,P
11,102,26,0,12,15,20,94,0,0,0,0,0,3,31,0,0,0,0,0,0,0,0,0,0,0,P
7,87,25,0,9,15,17,84,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,P
15,112,26,1,8,19,22,89,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,P
8,96,34,0,8,25,25,74,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,P
12,65,31,0,6,13,19,93,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,P
11,50,32,0,7,15,19,77,0,0,0,0,0,1,27,0,0,0,0,0,0,0,0,0,0,0,P
8,51,20,0,7,13,21,105,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,P
9,77,30,0,9,20,20,84,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,P
8,106,27,0,8,18,26,77,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,P
8,53,25,0,8,14,22,85,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,P
7,68,24,0,6,17,19,81,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,P
18,58,29,0,8,12,21,114,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,P
7,50,18,0,7,13,19,71,0,0,0,1,0,0,27,0,0,0,0,0,0,0,0,0,0,0,P
13,119,35,1,20,20,20,112,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,P
