@relation sars_ppi_RCCLatD6Concat

@attribute RCC1 numeric
@attribute RCC2 numeric
@attribute RCC3 numeric
@attribute RCC4 numeric
@attribute RCC5 numeric
@attribute RCC6 numeric
@attribute RCC7 numeric
@attribute RCC8 numeric
@attribute RCC9 numeric
@attribute RCC10 numeric
@attribute RCC11 numeric
@attribute RCC12 numeric
@attribute RCC13 numeric
@attribute RCC14 numeric
@attribute RCC15 numeric
@attribute RCC16 numeric
@attribute RCC17 numeric
@attribute RCC18 numeric
@attribute RCC19 numeric
@attribute RCC20 numeric
@attribute RCC21 numeric
@attribute RCC22 numeric
@attribute RCC23 numeric
@attribute RCC24 numeric
@attribute RCC25 numeric
@attribute RCC26 numeric
@attribute RCC27 numeric
@attribute RCC28 numeric
@attribute RCC29 numeric
@attribute RCC30 numeric
@attribute RCC31 numeric
@attribute RCC32 numeric
@attribute RCC33 numeric
@attribute RCC34 numeric
@attribute RCC35 numeric
@attribute RCC36 numeric
@attribute RCC37 numeric
@attribute RCC38 numeric
@attribute RCC39 numeric
@attribute RCC40 numeric
@attribute RCC41 numeric
@attribute RCC42 numeric
@attribute RCC43 numeric
@attribute RCC44 numeric
@attribute RCC45 numeric
@attribute RCC46 numeric
@attribute RCC47 numeric
@attribute RCC48 numeric
@attribute RCC49 numeric
@attribute RCC50 numeric
@attribute RCC51 numeric
@attribute RCC52 numeric
@attribute Class {P,N}

@data

4,2,8,1,7,3,28,5,0,0,5,4,4,26,33,0,0,0,0,0,1,0,0,0,5,3,6,1,2,4,14,0,0,2,0,2,1,2,3,1,58,0,0,0,0,0,0,0,0,0,0,0,P
3,3,9,3,11,1,21,5,0,1,4,1,2,51,13,0,0,0,0,0,1,0,0,0,9,0,3,3,6,5,15,1,20,5,0,1,5,2,3,47,12,0,0,0,0,0,1,0,0,0,11,0,P
18,11,18,19,70,11,77,16,0,8,28,10,12,98,61,0,0,1,0,1,11,4,0,3,14,5,20,7,18,20,67,10,80,18,0,8,28,9,14,97,62,0,0,1,0,1,10,4,0,4,16,4,P
58,14,24,52,204,7,78,19,2,20,54,13,47,41,295,0,2,1,0,1,9,4,2,3,6,23,14,4,15,11,28,9,56,8,0,7,27,14,18,57,9,0,0,0,0,0,0,0,0,0,10,7,P
14,4,15,11,28,9,56,8,0,7,27,14,18,57,9,0,0,0,0,0,0,0,0,0,10,7,58,14,24,52,204,7,78,19,2,20,54,13,47,41,295,0,2,1,0,1,9,4,2,3,6,23,P
8,4,12,11,31,6,37,8,0,3,33,15,15,64,13,0,0,1,1,0,2,0,1,1,14,6,8,1,3,6,17,4,46,2,0,6,11,3,4,63,10,0,0,0,0,0,4,0,0,1,5,0,P
8,4,12,11,31,6,37,8,0,3,33,15,15,64,13,0,0,1,1,0,2,0,1,1,14,6,17,11,8,9,21,3,67,8,1,3,21,14,4,115,12,0,0,0,0,0,5,0,0,2,12,2,P
8,4,12,11,31,6,37,8,0,3,33,15,15,64,13,0,0,1,1,0,2,0,1,1,14,6,22,8,5,8,17,6,56,4,0,3,24,7,8,121,14,0,0,0,0,0,2,0,0,0,11,0,P
8,4,12,11,31,6,37,8,0,3,33,15,15,64,13,0,0,1,1,0,2,0,1,1,14,6,13,5,8,9,22,4,73,10,1,2,22,11,5,119,12,0,0,0,0,0,7,0,0,2,13,1,P
22,8,5,8,17,6,56,4,0,3,24,7,8,121,14,0,0,0,0,0,2,0,0,0,11,0,8,3,17,12,35,8,52,11,0,2,25,12,13,61,11,0,0,0,0,0,3,0,1,0,9,7,P
22,8,5,8,17,6,56,4,0,3,24,7,8,121,14,0,0,0,0,0,2,0,0,0,11,0,23,9,7,6,11,10,54,5,0,5,29,6,7,117,13,0,0,0,1,0,3,0,0,1,10,0,P
22,8,5,8,17,6,56,4,0,3,24,7,8,121,14,0,0,0,0,0,2,0,0,0,11,0,17,11,8,9,21,3,67,8,1,3,21,14,4,115,12,0,0,0,0,0,5,0,0,2,12,2,P
22,8,5,8,17,6,56,4,0,3,24,7,8,121,14,0,0,0,0,0,2,0,0,0,11,0,13,5,8,9,22,4,73,10,1,2,22,11,5,119,12,0,0,0,0,0,7,0,0,2,13,1,P
13,5,8,9,22,4,73,10,1,2,22,11,5,119,12,0,0,0,0,0,7,0,0,2,13,1,23,9,7,6,11,10,54,5,0,5,29,6,7,117,13,0,0,0,1,0,3,0,0,1,10,0,P
13,5,8,9,22,4,73,10,1,2,22,11,5,119,12,0,0,0,0,0,7,0,0,2,13,1,8,3,17,12,35,8,52,11,0,2,25,12,13,61,11,0,0,0,0,0,3,0,1,0,9,7,P
