@relation sars_ppi_RCCNoLatD8Concat

@attribute RCC1 numeric
@attribute RCC2 numeric
@attribute RCC3 numeric
@attribute RCC4 numeric
@attribute RCC5 numeric
@attribute RCC6 numeric
@attribute RCC7 numeric
@attribute RCC8 numeric
@attribute RCC9 numeric
@attribute RCC10 numeric
@attribute RCC11 numeric
@attribute RCC12 numeric
@attribute RCC13 numeric
@attribute RCC14 numeric
@attribute RCC15 numeric
@attribute RCC16 numeric
@attribute RCC17 numeric
@attribute RCC18 numeric
@attribute RCC19 numeric
@attribute RCC20 numeric
@attribute RCC21 numeric
@attribute RCC22 numeric
@attribute RCC23 numeric
@attribute RCC24 numeric
@attribute RCC25 numeric
@attribute RCC26 numeric
@attribute RCC27 numeric
@attribute RCC28 numeric
@attribute RCC29 numeric
@attribute RCC30 numeric
@attribute RCC31 numeric
@attribute RCC32 numeric
@attribute RCC33 numeric
@attribute RCC34 numeric
@attribute RCC35 numeric
@attribute RCC36 numeric
@attribute RCC37 numeric
@attribute RCC38 numeric
@attribute RCC39 numeric
@attribute RCC40 numeric
@attribute RCC41 numeric
@attribute RCC42 numeric
@attribute RCC43 numeric
@attribute RCC44 numeric
@attribute RCC45 numeric
@attribute RCC46 numeric
@attribute RCC47 numeric
@attribute RCC48 numeric
@attribute RCC49 numeric
@attribute RCC50 numeric
@attribute RCC51 numeric
@attribute RCC52 numeric
@attribute Class {P,N}

@data

0,0,3,0,2,2,14,1,0,0,3,5,2,33,24,0,0,0,0,0,2,4,0,4,8,12,2,6,1,0,4,0,1,2,0,0,1,1,5,0,49,0,0,0,0,0,0,1,1,0,0,6,P
1,0,8,0,2,1,9,2,0,0,0,3,0,51,9,0,0,0,0,0,3,0,0,1,11,5,1,0,4,0,4,2,10,2,0,0,0,3,0,47,8,0,0,0,0,0,3,1,0,1,14,7,P
7,5,15,2,15,7,47,14,1,2,17,15,9,118,45,0,0,1,3,2,8,10,1,12,18,16,11,6,13,2,13,8,49,14,1,2,14,17,10,113,46,0,0,1,3,2,10,10,1,13,20,17,P
26,31,17,9,77,8,36,16,0,12,30,19,51,40,260,0,0,1,0,5,8,25,4,10,9,43,7,4,7,0,13,2,26,12,0,1,9,15,12,70,13,0,0,0,0,0,3,2,0,6,23,9,P
7,4,7,0,13,2,26,12,0,1,9,15,12,70,13,0,0,0,0,0,3,2,0,6,23,9,26,31,17,9,77,8,36,16,0,12,30,19,51,40,260,0,0,1,0,5,8,25,4,10,9,43,P
3,2,10,1,17,2,31,9,0,1,11,10,11,73,17,0,0,0,0,0,8,2,2,8,18,8,3,4,1,0,5,3,18,3,0,0,5,2,4,97,7,0,0,0,0,0,2,3,0,3,8,3,P
3,2,10,1,17,2,31,9,0,1,11,10,11,73,17,0,0,0,0,0,8,2,2,8,18,8,3,4,0,0,11,2,40,7,0,0,8,15,4,145,11,0,0,0,0,0,4,1,0,8,19,7,P
3,2,10,1,17,2,31,9,0,1,11,10,11,73,17,0,0,0,0,0,8,2,2,8,18,8,6,5,4,1,5,3,36,6,0,0,9,4,4,140,9,0,0,0,0,1,0,2,0,7,19,7,P
3,2,10,1,17,2,31,9,0,1,11,10,11,73,17,0,0,0,0,0,8,2,2,8,18,8,1,0,1,0,9,2,36,5,0,1,8,16,5,152,13,0,0,0,0,0,3,0,0,6,17,5,P
6,5,4,1,5,3,36,6,0,0,9,4,4,140,9,0,0,0,0,1,0,2,0,7,19,7,3,3,8,1,17,3,29,10,0,1,9,13,9,80,13,0,0,0,0,0,3,2,0,5,16,9,P
6,5,4,1,5,3,36,6,0,0,9,4,4,140,9,0,0,0,0,1,0,2,0,7,19,7,4,5,4,1,4,4,41,4,0,0,8,6,5,142,11,0,0,0,0,1,0,2,0,5,18,7,P
6,5,4,1,5,3,36,6,0,0,9,4,4,140,9,0,0,0,0,1,0,2,0,7,19,7,3,4,0,0,11,2,40,7,0,0,8,15,4,145,11,0,0,0,0,0,4,1,0,8,19,7,P
6,5,4,1,5,3,36,6,0,0,9,4,4,140,9,0,0,0,0,1,0,2,0,7,19,7,1,0,1,0,9,2,36,5,0,1,8,16,5,152,13,0,0,0,0,0,3,0,0,6,17,5,P
1,0,1,0,9,2,36,5,0,1,8,16,5,152,13,0,0,0,0,0,3,0,0,6,17,5,4,5,4,1,4,4,41,4,0,0,8,6,5,142,11,0,0,0,0,1,0,2,0,5,18,7,P
1,0,1,0,9,2,36,5,0,1,8,16,5,152,13,0,0,0,0,0,3,0,0,6,17,5,3,3,8,1,17,3,29,10,0,1,9,13,9,80,13,0,0,0,0,0,3,2,0,5,16,9,P
3,3,8,1,17,3,29,10,0,1,9,13,9,80,13,0,0,0,0,0,3,2,0,5,16,9,4,5,4,1,4,4,41,4,0,0,8,6,5,142,11,0,0,0,0,1,0,2,0,5,18,7,P
3,3,8,1,17,3,29,10,0,1,9,13,9,80,13,0,0,0,0,0,3,2,0,5,16,9,3,4,0,0,11,2,40,7,0,0,8,15,4,145,11,0,0,0,0,0,4,1,0,8,19,7,P
3,3,8,1,17,3,29,10,0,1,9,13,9,80,13,0,0,0,0,0,3,2,0,5,16,9,2,4,3,0,4,4,23,4,0,0,8,3,7,93,8,0,0,0,0,0,0,1,0,3,8,3,P
4,5,4,1,4,4,41,4,0,0,8,6,5,142,11,0,0,0,0,1,0,2,0,5,18,7,3,4,0,0,11,2,40,7,0,0,8,15,4,145,11,0,0,0,0,0,4,1,0,8,19,7,P
12,7,5,3,21,6,48,8,0,2,11,12,10,113,54,0,0,0,1,1,8,5,0,12,23,18,9,4,8,2,20,6,48,7,0,1,11,11,11,106,59,0,0,0,2,0,9,7,3,11,22,13,P
9,4,8,2,20,6,48,7,0,1,11,11,11,106,59,0,0,0,2,0,9,7,3,11,22,13,12,7,5,3,21,6,48,8,0,2,11,12,10,113,54,0,0,0,1,1,8,5,0,12,23,18,P
12,7,5,3,21,6,48,8,0,2,11,12,10,113,54,0,0,0,1,1,8,5,0,12,23,18,9,7,12,2,15,5,36,6,0,3,11,13,11,113,61,0,0,0,1,0,10,9,3,15,24,11,P
9,4,8,2,20,6,48,7,0,1,11,11,11,106,59,0,0,0,2,0,9,7,3,11,22,13,9,7,12,2,15,5,36,6,0,3,11,13,11,113,61,0,0,0,1,0,10,9,3,15,24,11,P
12,8,21,1,29,9,50,9,0,4,22,19,11,82,62,0,0,0,1,1,8,7,2,9,13,13,1,0,17,2,5,2,13,3,0,2,12,4,9,22,17,0,0,0,0,0,3,2,0,3,8,6,P
1,0,17,2,5,2,13,3,0,2,12,4,9,22,17,0,0,0,0,0,3,2,0,3,8,6,12,8,21,1,29,9,50,9,0,4,22,19,11,82,62,0,0,0,1,1,8,7,2,9,13,13,P
12,8,21,1,29,9,50,9,0,4,22,19,11,82,62,0,0,0,1,1,8,7,2,9,13,13,10,8,20,2,28,10,55,9,0,3,19,21,14,86,57,0,0,0,1,1,9,7,2,6,10,13,P
10,8,20,2,28,10,55,9,0,3,19,21,14,86,57,0,0,0,1,1,9,7,2,6,10,13,12,8,21,1,29,9,50,9,0,4,22,19,11,82,62,0,0,0,1,1,8,7,2,9,13,13,P
12,8,21,1,29,9,50,9,0,4,22,19,11,82,62,0,0,0,1,1,8,7,2,9,13,13,1,0,12,1,5,2,13,4,0,2,14,4,9,22,17,0,0,0,0,0,3,1,0,3,8,6,P
1,0,17,2,5,2,13,3,0,2,12,4,9,22,17,0,0,0,0,0,3,2,0,3,8,6,1,0,12,1,5,2,13,4,0,2,14,4,9,22,17,0,0,0,0,0,3,1,0,3,8,6,P
1,0,17,2,5,2,13,3,0,2,12,4,9,22,17,0,0,0,0,0,3,2,0,3,8,6,10,8,20,2,28,10,55,9,0,3,19,21,14,86,57,0,0,0,1,1,9,7,2,6,10,13,P
10,8,20,2,28,10,55,9,0,3,19,21,14,86,57,0,0,0,1,1,9,7,2,6,10,13,1,0,17,2,5,2,13,3,0,2,12,4,9,22,17,0,0,0,0,0,3,2,0,3,8,6,P
10,8,20,2,28,10,55,9,0,3,19,21,14,86,57,0,0,0,1,1,9,7,2,6,10,13,1,0,12,1,5,2,13,4,0,2,14,4,9,22,17,0,0,0,0,0,3,1,0,3,8,6,P
1,7,11,2,5,3,24,3,0,2,3,4,5,30,10,0,0,0,1,3,7,1,0,4,4,0,4,7,11,2,4,4,28,5,0,2,4,5,4,33,10,0,0,0,1,3,4,1,0,6,6,1,P
