@relation sars_ppi_RCCLatD6Sum

@attribute RCC1 numeric
@attribute RCC2 numeric
@attribute RCC3 numeric
@attribute RCC4 numeric
@attribute RCC5 numeric
@attribute RCC6 numeric
@attribute RCC7 numeric
@attribute RCC8 numeric
@attribute RCC9 numeric
@attribute RCC10 numeric
@attribute RCC11 numeric
@attribute RCC12 numeric
@attribute RCC13 numeric
@attribute RCC14 numeric
@attribute RCC15 numeric
@attribute RCC16 numeric
@attribute RCC17 numeric
@attribute RCC18 numeric
@attribute RCC19 numeric
@attribute RCC20 numeric
@attribute RCC21 numeric
@attribute RCC22 numeric
@attribute RCC23 numeric
@attribute RCC24 numeric
@attribute RCC25 numeric
@attribute RCC26 numeric
@attribute Class {P,N}

@data

10,3,10,5,21,3,28,7,0,2,6,6,7,27,91,0,0,0,0,0,1,0,0,0,5,3,P
6,6,15,8,26,2,41,10,0,2,9,3,5,98,25,0,0,0,0,0,2,0,0,0,20,0,P
38,18,36,39,137,21,157,34,0,16,56,19,26,195,123,0,0,2,0,2,21,8,0,7,30,9,P
72,18,39,63,232,16,134,27,2,27,81,27,65,98,304,0,2,1,0,1,9,4,2,3,16,30,P
72,18,39,63,232,16,134,27,2,27,81,27,65,98,304,0,2,1,0,1,9,4,2,3,16,30,P
16,5,15,17,48,10,83,10,0,9,44,18,19,127,23,0,0,1,1,0,6,0,1,2,19,6,P
25,15,20,20,52,9,104,16,1,6,54,29,19,179,25,0,0,1,1,0,7,0,1,3,26,8,P
30,12,17,19,48,12,93,12,0,6,57,22,23,185,27,0,0,1,1,0,4,0,1,1,25,6,P
21,9,20,20,53,10,110,18,1,5,55,26,20,183,25,0,0,1,1,0,9,0,1,3,27,7,P
30,11,22,20,52,14,108,15,0,5,49,19,21,182,25,0,0,0,0,0,5,0,1,0,20,7,P
45,17,12,14,28,16,110,9,0,8,53,13,15,238,27,0,0,0,1,0,5,0,0,1,21,0,P
39,19,13,17,38,9,123,12,1,6,45,21,12,236,26,0,0,0,0,0,7,0,0,2,23,2,P
35,13,13,17,39,10,129,14,1,5,46,18,13,240,26,0,0,0,0,0,9,0,0,2,24,1,P
36,14,15,15,33,14,127,15,1,7,51,17,12,236,25,0,0,0,1,0,10,0,0,3,23,1,P
21,8,25,21,57,12,125,21,1,4,47,23,18,180,23,0,0,0,0,0,10,0,1,2,22,8,P
31,12,24,18,46,18,106,16,0,7,54,18,20,178,24,0,0,0,1,0,6,0,1,1,19,7,P
25,14,25,21,56,11,119,19,1,5,46,26,17,176,23,0,0,0,0,0,8,0,1,2,21,9,P
20,5,19,18,48,12,99,12,0,7,37,16,18,120,21,0,0,0,0,0,6,0,1,1,15,7,P
40,20,15,15,32,13,121,13,1,8,50,20,11,232,25,0,0,0,1,0,8,0,0,3,22,2,P
52,27,25,30,128,25,118,14,0,17,55,31,42,190,136,0,0,0,0,0,12,6,1,7,20,9,P
52,27,25,30,128,25,118,14,0,17,55,31,42,190,136,0,0,0,0,0,12,6,1,7,20,9,P
49,23,24,30,139,29,136,17,0,17,47,27,38,190,134,0,0,0,0,1,11,6,1,4,23,9,P
53,26,27,28,135,30,122,19,0,14,50,26,40,186,138,0,0,0,0,1,11,4,0,7,21,8,P
49,13,40,16,74,13,112,13,0,11,40,17,17,93,88,0,0,0,1,1,6,0,0,1,14,4,P
49,13,40,16,74,13,112,13,0,11,40,17,17,93,88,0,0,0,1,1,6,0,0,1,14,4,P
66,27,49,24,133,24,182,17,0,17,50,23,28,145,135,0,0,0,2,2,9,0,0,0,16,4,P
66,27,49,24,133,24,182,17,0,17,50,23,28,145,135,0,0,0,2,2,9,0,0,0,16,4,P
47,13,36,15,74,13,113,13,0,10,38,16,18,93,89,0,0,0,1,1,6,0,0,1,14,3,P
28,2,22,13,22,4,51,10,0,3,26,9,7,40,39,0,0,0,0,0,2,0,0,2,12,3,P
47,16,35,22,81,15,120,14,0,10,38,16,17,92,85,0,0,0,1,1,5,0,0,1,14,4,P
47,16,35,22,81,15,120,14,0,10,38,16,17,92,85,0,0,0,1,1,5,0,0,1,14,4,P
45,16,31,21,81,15,121,14,0,9,36,15,18,92,86,0,0,0,1,1,5,0,0,1,14,3,P
16,5,13,7,28,11,88,16,0,4,12,12,9,61,7,0,0,0,0,1,5,2,0,0,1,0,P
16,5,13,7,28,11,88,16,0,4,12,12,9,61,7,0,0,0,0,1,5,2,0,0,1,0,P
18,5,11,6,29,10,88,15,0,4,13,13,10,67,7,0,0,0,0,0,4,2,0,0,0,0,P
14,6,17,7,33,10,94,14,0,2,10,13,6,67,6,0,0,0,1,2,6,2,0,0,4,0,P
14,6,17,7,33,10,94,14,0,2,10,13,6,67,6,0,0,0,1,2,6,2,0,0,4,0,P
16,6,15,6,34,9,94,13,0,2,11,14,7,73,6,0,0,0,1,1,5,2,0,0,3,0,P
27,8,11,27,95,12,60,4,0,12,31,17,25,75,102,0,0,0,0,2,4,2,0,6,15,8,P
27,8,11,27,95,12,60,4,0,12,31,17,25,75,102,0,0,0,0,2,4,2,0,6,15,8,P
25,10,10,29,95,11,58,4,0,11,33,16,26,75,101,0,0,0,0,2,4,2,0,5,15,8,P
37,9,10,23,87,12,67,4,0,10,29,17,29,76,98,0,0,0,0,2,2,2,0,5,12,10,P
37,9,10,23,87,12,67,4,0,10,29,17,29,76,98,0,0,0,0,2,2,2,0,5,12,10,P
28,9,13,29,92,12,69,4,0,9,27,16,26,80,101,0,0,0,0,2,2,2,0,6,11,9,P
33,10,13,25,90,11,66,5,1,9,29,15,27,79,102,0,0,1,0,2,2,2,0,5,11,9,P
33,10,13,25,90,11,66,5,1,9,29,15,27,79,102,0,0,1,0,2,2,2,0,5,11,9,P
33,11,16,28,90,13,61,5,1,8,30,15,27,79,101,0,0,1,0,2,2,2,0,5,10,10,P
38,12,13,23,89,12,63,5,1,9,28,16,28,76,98,0,0,1,0,2,2,2,0,4,11,11,P
38,12,13,23,89,12,63,5,1,9,28,16,28,76,98,0,0,1,0,2,2,2,0,4,11,11,P
33,11,13,27,91,13,66,4,0,9,26,17,27,77,97,0,0,0,0,2,2,2,0,5,11,11,P
33,11,10,28,92,11,59,6,0,8,27,15,26,74,99,0,0,0,0,2,2,2,0,5,14,10,P
33,11,10,28,92,11,59,6,0,8,27,15,26,74,99,0,0,0,0,2,2,2,0,5,14,10,P
32,12,11,27,95,13,62,5,0,9,29,16,24,78,102,0,0,0,0,2,2,2,0,6,12,8,P
34,14,13,29,90,11,58,6,0,8,29,16,26,76,103,0,0,0,0,2,2,2,0,5,12,8,P
34,14,13,29,90,11,58,6,0,8,29,16,26,76,103,0,0,0,0,2,2,2,0,5,12,8,P
32,14,12,28,89,10,62,5,0,9,30,18,26,76,103,0,0,0,0,2,2,2,0,5,12,8,P
33,13,12,29,87,9,59,6,0,8,29,17,29,72,100,0,0,0,0,2,2,2,0,4,13,10,P
33,13,12,29,87,9,59,6,0,8,29,17,29,72,100,0,0,0,0,2,2,2,0,4,13,10,P
31,11,10,27,92,11,63,5,0,9,29,17,27,74,99,0,0,0,0,2,2,2,0,5,13,10,P
26,12,15,14,67,9,66,12,0,7,32,15,17,109,66,0,0,0,0,1,7,3,0,2,13,4,P
71,35,42,36,130,15,129,17,0,16,67,20,39,166,131,0,0,0,0,0,6,2,0,6,19,8,P
41,17,36,38,134,17,171,30,0,14,49,17,22,186,120,0,0,3,0,3,24,8,0,10,34,7,P
128,53,52,33,202,16,182,49,1,21,64,31,47,155,318,0,1,1,2,3,13,7,2,3,19,21,P
128,53,52,33,202,16,182,49,1,21,64,31,47,155,318,0,1,1,2,3,13,7,2,3,19,21,P
128,51,47,36,215,15,166,43,1,21,61,30,45,128,333,0,1,1,2,3,13,7,2,2,17,18,P
125,51,47,32,196,15,161,43,1,21,61,29,43,127,285,0,1,1,2,3,13,7,2,2,17,18,P
125,51,47,32,196,15,161,43,1,21,61,29,43,127,285,0,1,1,2,3,13,7,2,2,17,18,P
6,2,5,5,25,1,26,6,0,0,3,3,6,29,81,0,0,0,0,0,0,0,0,1,2,3,P
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P
113,60,65,36,208,19,158,50,1,22,70,32,43,152,310,0,1,2,3,1,18,11,3,4,22,24,P
113,60,65,36,208,19,158,50,1,22,70,32,43,152,310,0,1,2,3,1,18,11,3,4,22,24,P
113,59,60,37,212,19,142,47,1,22,67,31,45,126,317,0,1,2,3,1,18,11,3,4,18,23,P
113,59,60,37,212,19,142,47,1,22,67,31,45,126,317,0,1,2,3,1,18,11,3,4,18,23,P
111,58,68,36,206,22,154,47,1,22,73,35,45,156,296,0,1,2,3,1,18,11,3,5,19,24,P
12,3,7,1,16,0,20,5,0,0,3,5,6,28,79,0,0,0,0,0,0,0,0,0,4,5,P
12,3,7,1,16,0,20,5,0,0,3,5,6,28,79,0,0,0,0,0,0,0,0,0,4,5,P
10,1,10,1,14,3,16,2,0,0,6,8,8,32,65,0,0,0,0,0,0,0,0,1,1,5,P
100,36,29,69,228,20,153,37,2,54,116,43,82,161,279,0,1,4,5,5,27,30,1,9,32,32,P
100,36,29,69,228,20,153,37,2,54,116,43,82,161,279,0,1,4,5,5,27,30,1,9,32,32,P
103,34,25,70,229,19,146,39,2,53,110,37,82,132,286,0,1,4,5,5,26,31,1,8,26,29,P
103,34,25,70,229,19,146,39,2,53,110,37,82,132,286,0,1,4,5,5,26,31,1,8,26,29,P
96,35,26,68,215,19,143,35,2,51,109,37,78,132,270,0,1,4,5,5,26,30,1,8,26,26,P
96,34,24,68,214,19,143,35,2,51,109,37,78,131,250,0,1,4,5,5,26,30,1,8,26,25,P
96,34,24,68,214,19,143,35,2,51,109,37,78,131,250,0,1,4,5,5,26,30,1,8,26,25,P
11,2,6,3,29,1,13,6,0,5,8,6,8,31,65,0,0,0,0,0,1,1,0,1,6,11,P
11,2,6,3,29,1,13,6,0,5,8,6,8,31,65,0,0,0,0,0,1,1,0,1,6,11,P
7,1,3,2,16,0,3,4,0,2,1,0,4,2,56,0,0,0,0,0,0,1,0,0,0,5,P
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P
12,1,8,7,29,4,28,5,0,0,3,2,5,32,86,0,0,0,0,0,1,0,0,1,6,3,P
10,1,10,7,28,4,28,8,0,0,3,3,5,32,86,0,0,0,0,0,1,0,0,1,5,3,P
10,1,10,7,28,4,28,8,0,0,3,3,5,32,86,0,0,0,0,0,1,0,0,1,5,3,P
12,0,3,14,36,0,7,2,0,0,0,2,4,2,100,0,0,0,0,0,0,0,0,0,0,3,P
12,0,3,14,36,0,7,2,0,0,0,2,4,2,100,0,0,0,0,0,0,0,0,0,0,3,P
10,1,9,7,28,4,29,8,0,0,3,3,5,32,86,0,0,0,0,0,1,0,0,1,5,2,P
10,1,9,7,28,4,29,8,0,0,3,3,5,32,86,0,0,0,0,0,1,0,0,1,5,2,P
10,2,14,0,21,8,50,11,0,0,6,3,6,62,72,0,0,0,0,0,2,0,0,2,11,2,P
12,1,7,7,29,4,29,5,0,0,3,2,5,32,86,0,0,0,0,0,1,0,0,1,6,2,P
200,88,118,50,345,61,477,75,2,38,173,62,96,590,349,0,0,0,0,0,16,6,0,10,79,48,P
200,88,118,50,344,61,476,75,2,38,172,62,96,590,349,0,0,0,0,0,16,6,0,10,80,48,P
200,88,118,50,344,61,476,75,2,38,172,62,96,590,349,0,0,0,0,0,16,6,0,10,80,48,P
200,88,118,50,345,60,481,76,2,38,173,62,96,590,348,0,0,0,0,0,16,6,0,10,79,48,P
