@relation swmerscov_LatD6SumNoNamesWithClassP

@attribute RCC1 numeric
@attribute RCC2 numeric
@attribute RCC3 numeric
@attribute RCC4 numeric
@attribute RCC5 numeric
@attribute RCC6 numeric
@attribute RCC7 numeric
@attribute RCC8 numeric
@attribute RCC9 numeric
@attribute RCC10 numeric
@attribute RCC11 numeric
@attribute RCC12 numeric
@attribute RCC13 numeric
@attribute RCC14 numeric
@attribute RCC15 numeric
@attribute RCC16 numeric
@attribute RCC17 numeric
@attribute RCC18 numeric
@attribute RCC19 numeric
@attribute RCC20 numeric
@attribute RCC21 numeric
@attribute RCC22 numeric
@attribute RCC23 numeric
@attribute RCC24 numeric
@attribute RCC25 numeric
@attribute RCC26 numeric
@attribute Class {P,N}

@data

70,16,44,40,100,12,146,16,0,16,74,22,32,178,116,0,0,0,2,0,14,2,0,6,20,16,P
35,8,24,20,51,6,73,14,0,8,37,11,16,92,94,0,0,0,1,0,7,1,0,3,10,8,P
84,27,78,42,170,17,202,36,0,15,81,23,41,199,165,0,0,0,3,2,14,3,0,3,30,16,P
111,36,48,59,210,22,242,37,4,17,91,35,51,235,189,0,0,2,2,3,10,5,0,4,31,17,P
41,12,30,24,73,13,118,20,0,9,46,15,19,118,60,0,0,0,1,0,9,2,0,3,13,9,P
59,22,40,39,110,13,151,19,0,13,57,20,32,181,121,0,0,1,1,2,15,5,0,8,25,13,P
68,17,50,32,116,15,161,16,0,15,63,26,31,159,124,0,0,0,2,1,10,1,0,3,20,11,P
58,18,30,29,95,11,152,22,0,14,61,22,36,191,124,0,0,0,1,0,19,2,0,6,25,11,P
154,50,75,52,253,25,205,41,3,36,105,42,60,215,341,0,1,2,5,2,17,7,1,5,28,30,P
83,42,72,51,154,29,292,35,3,29,115,51,58,353,111,0,0,1,1,3,30,5,2,11,39,11,P
35,8,24,20,51,6,73,14,0,8,37,11,16,92,94,0,0,0,1,0,7,1,0,3,10,8,P
0,0,4,0,2,0,0,12,0,0,0,0,0,6,72,0,0,0,0,0,0,0,0,0,0,0,P
49,19,58,22,121,11,129,34,0,7,44,12,25,113,143,0,0,0,2,2,7,2,0,0,20,8,P
76,28,28,39,161,16,169,35,4,9,54,24,35,149,167,0,0,2,1,3,3,4,0,1,21,9,P
6,4,10,4,24,7,45,18,0,1,9,4,3,32,38,0,0,0,0,0,2,1,0,0,3,1,P
24,14,20,19,61,7,78,17,0,5,20,9,16,95,99,0,0,1,0,2,8,4,0,5,15,5,P
33,9,30,12,67,9,88,14,0,7,26,15,15,73,102,0,0,0,1,1,3,0,0,0,10,3,P
23,10,10,9,46,5,79,20,0,6,24,11,20,105,102,0,0,0,0,0,12,1,0,3,15,3,P
119,42,55,32,204,19,132,39,3,28,68,31,44,129,319,0,1,2,4,2,10,6,1,2,18,22,P
48,34,52,31,105,23,219,33,3,21,78,40,42,267,89,0,0,1,0,3,23,4,2,8,29,3,P
84,27,78,42,170,17,202,36,0,15,81,23,41,199,165,0,0,0,3,2,14,3,0,3,30,16,P
49,19,58,22,121,11,129,34,0,7,44,12,25,113,143,0,0,0,2,2,7,2,0,0,20,8,P
98,38,112,44,240,22,258,56,0,14,88,24,50,220,214,0,0,0,4,4,14,4,0,0,40,16,P
125,47,82,61,280,27,298,57,4,16,98,36,60,256,238,0,0,2,3,5,10,6,0,1,41,17,P
55,23,64,26,143,18,174,40,0,8,53,16,28,139,109,0,0,0,2,2,9,3,0,0,23,9,P
73,33,74,41,180,18,207,39,0,12,64,21,41,202,170,0,0,1,2,4,15,6,0,5,35,13,P
82,28,84,34,186,20,217,36,0,14,70,27,40,180,173,0,0,0,3,3,10,2,0,0,30,11,P
72,29,64,31,165,16,208,42,0,13,68,23,45,212,173,0,0,0,2,2,19,3,0,3,35,11,P
168,61,109,54,323,30,261,61,3,35,112,43,69,236,390,0,1,2,6,4,17,8,1,2,38,30,P
97,53,106,53,224,34,348,55,3,28,122,52,67,374,160,0,0,1,2,5,30,6,2,8,49,11,P
111,36,48,59,210,22,242,37,4,17,91,35,51,235,189,0,0,2,2,3,10,5,0,4,31,17,P
76,28,28,39,161,16,169,35,4,9,54,24,35,149,167,0,0,2,1,3,3,4,0,1,21,9,P
125,47,82,61,280,27,298,57,4,16,98,36,60,256,238,0,0,2,3,5,10,6,0,1,41,17,P
152,56,52,78,320,32,338,58,8,18,108,48,70,292,262,0,0,4,2,6,6,8,0,2,42,18,P
82,32,34,43,183,23,214,41,4,10,63,28,38,175,133,0,0,2,1,3,5,5,0,1,24,10,P
100,42,44,58,220,23,247,40,4,14,74,33,51,238,194,0,0,3,1,5,11,8,0,6,36,14,P
109,37,54,51,226,25,257,37,4,16,80,39,50,216,197,0,0,2,2,4,6,4,0,1,31,12,P
99,38,34,48,205,21,248,43,4,15,78,35,55,248,197,0,0,2,1,3,15,5,0,4,36,12,P
195,70,79,71,363,35,301,62,7,37,122,55,79,272,414,0,1,4,5,5,13,10,1,3,39,31,P
124,62,76,70,264,39,388,56,7,30,132,64,77,410,184,0,0,3,1,6,26,8,2,9,50,12,P
41,12,30,24,73,13,118,20,0,9,46,15,19,118,60,0,0,0,1,0,9,2,0,3,13,9,P
6,4,10,4,24,7,45,18,0,1,9,4,3,32,38,0,0,0,0,0,2,1,0,0,3,1,P
55,23,64,26,143,18,174,40,0,8,53,16,28,139,109,0,0,0,2,2,9,3,0,0,23,9,P
82,32,34,43,183,23,214,41,4,10,63,28,38,175,133,0,0,2,1,3,5,5,0,1,24,10,P
12,8,16,8,46,14,90,24,0,2,18,8,6,58,4,0,0,0,0,0,4,2,0,0,6,2,P
30,18,26,23,83,14,123,23,0,6,29,13,19,121,65,0,0,1,0,2,10,5,0,5,18,6,P
39,13,36,16,89,16,133,20,0,8,35,19,18,99,68,0,0,0,1,1,5,1,0,0,13,4,P
29,14,16,13,68,12,124,26,0,7,33,15,23,131,68,0,0,0,0,0,14,2,0,3,18,4,P
125,46,61,36,226,26,177,45,3,29,77,35,47,155,285,0,1,2,4,2,12,7,1,2,21,23,P
54,38,58,35,127,30,264,39,3,22,87,44,45,293,55,0,0,1,0,3,25,5,2,8,32,4,P
59,22,40,39,110,13,151,19,0,13,57,20,32,181,121,0,0,1,1,2,15,5,0,8,25,13,P
24,14,20,19,61,7,78,17,0,5,20,9,16,95,99,0,0,1,0,2,8,4,0,5,15,5,P
73,33,74,41,180,18,207,39,0,12,64,21,41,202,170,0,0,1,2,4,15,6,0,5,35,13,P
100,42,44,58,220,23,247,40,4,14,74,33,51,238,194,0,0,3,1,5,11,8,0,6,36,14,P
30,18,26,23,83,14,123,23,0,6,29,13,19,121,65,0,0,1,0,2,10,5,0,5,18,6,P
48,28,36,38,120,14,156,22,0,10,40,18,32,184,126,0,0,2,0,4,16,8,0,10,30,10,P
57,23,46,31,126,16,166,19,0,12,46,24,31,162,129,0,0,1,1,3,11,4,0,5,25,8,P
47,24,26,28,105,12,157,25,0,11,44,20,36,194,129,0,0,1,0,2,20,5,0,8,30,8,P
143,56,71,51,263,26,210,44,3,33,88,40,60,218,346,0,1,3,4,4,18,10,1,7,33,27,P
